Unix Timestamp	Date	Symbol	Open	High	Low	Close	Volume
1.58E+12	1/22/2020 4:23	BTCUSD	5011.99	7022.99	1000.99	5000.99	0.30482358
1.58E+12	1/22/2020 4:22	BTCUSD	8701.59	8701.99	8701.59	8701.99	0.05545614
1.58E+12	1/22/2020 4:21	BTCUSD	8701.58	8701.59	8701.58	8701.59	0.057270352
1.58E+12	1/22/2020 4:20	BTCUSD	8701.58	8701.58	8701.58	8701.58	0
1.58E+12	1/22/2020 4:19	BTCUSD	8701.59	8701.59	8701.58	8701.58	0.00415058
1.58E+12	1/22/2020 4:18	BTCUSD	8701.59	8701.59	8701.58	8701.59	0.10145073
1.58E+12	1/22/2020 4:17	BTCUSD	8701.59	8701.59	8701.59	8701.59	0.05632039
1.58E+12	1/22/2020 4:16	BTCUSD	8701.59	8701.59	8701.59	8701.59	0.01109256
1.58E+12	1/22/2020 4:15	BTCUSD	8701.59	8701.59	8701.59	8701.59	1.00E-05
1.58E+12	1/22/2020 4:14	BTCUSD	8701.59	8701.59	8701.59	8701.59	0
1.58E+12	1/22/2020 4:13	BTCUSD	8702.14	8702.14	8701.58	8701.59	0.44602022
1.58E+12	1/22/2020 4:12	BTCUSD	8702.01	8705.54	8702.01	8702.14	0.00012373
1.58E+12	1/22/2020 4:11	BTCUSD	8702.01	8702.01	8702.01	8702.01	0
1.58E+12	1/22/2020 4:10	BTCUSD	8705.06	8705.12	8702.01	8702.01	0.08019315
1.58E+12	1/22/2020 4:09	BTCUSD	8705.92	8705.96	8705.06	8705.06	0.04873867
1.58E+12	1/22/2020 4:08	BTCUSD	8705.85	8707.98	8705.85	8705.92	0.06778373
1.58E+12	1/22/2020 4:07	BTCUSD	8708.01	8708.01	8705.85	8705.85	0.03902249
1.58E+12	1/22/2020 4:06	BTCUSD	8707.11	8708.01	8707.11	8708.01	0.00212505
1.58E+12	1/22/2020 4:05	BTCUSD	8707.11	8707.11	8707.11	8707.11	0
1.58E+12	1/22/2020 4:04	BTCUSD	8707.11	8707.11	8707.11	8707.11	0
1.58E+12	1/22/2020 4:03	BTCUSD	8697.93	8709	8697.93	8707.11	0.03319821
1.58E+12	1/22/2020 4:02	BTCUSD	8697.93	8697.93	8697.93	8697.93	0
1.58E+12	1/22/2020 4:01	BTCUSD	8697.93	8697.93	8697.93	8697.93	0
1.58E+12	1/22/2020 4:00	BTCUSD	8697.93	8697.93	8697.93	8697.93	0
1.58E+12	1/22/2020 3:59	BTCUSD	8697.93	8697.93	8697.93	8697.93	0
1.58E+12	1/22/2020 3:58	BTCUSD	8698.91	8703.26	8697.93	8697.93	0.00013376
1.58E+12	1/22/2020 3:57	BTCUSD	8698.91	8698.91	8698.91	8698.91	0
1.58E+12	1/22/2020 3:56	BTCUSD	8695.76	8698.91	8695.76	8698.91	0.03122425
1.58E+12	1/22/2020 3:55	BTCUSD	8695.76	8695.76	8695.76	8695.76	0
1.58E+12	1/22/2020 3:54	BTCUSD	8695.76	8695.76	8695.76	8695.76	0
1.58E+12	1/22/2020 3:53	BTCUSD	8695.76	8695.76	8695.76	8695.76	0
1.58E+12	1/22/2020 3:52	BTCUSD	8695.67	8701.48	8695.67	8695.76	0.01396197
1.58E+12	1/22/2020 3:51	BTCUSD	8695.67	8695.67	8695.67	8695.67	0
1.58E+12	1/22/2020 3:50	BTCUSD	8695.67	8695.67	8695.67	8695.67	0
1.58E+12	1/22/2020 3:49	BTCUSD	8695.67	8695.67	8695.67	8695.67	0
1.58E+12	1/22/2020 3:48	BTCUSD	8692.52	8695.67	8692.52	8695.67	0.02700353
1.58E+12	1/22/2020 3:47	BTCUSD	8692.52	8692.52	8692.52	8692.52	0
1.58E+12	1/22/2020 3:46	BTCUSD	8698.41	8698.41	8692.52	8692.52	0.75801
1.58E+12	1/22/2020 3:45	BTCUSD	8698.37	8701.24	8698.37	8698.41	0.01453399
1.58E+12	1/22/2020 3:44	BTCUSD	8698.34	8698.37	8698.34	8698.37	0.00445556
1.58E+12	1/22/2020 3:43	BTCUSD	8698.34	8698.34	8698.34	8698.34	0
1.58E+12	1/22/2020 3:42	BTCUSD	8698.34	8698.34	8698.34	8698.34	0
1.58E+12	1/22/2020 3:41	BTCUSD	8698.34	8698.34	8698.34	8698.34	0
1.58E+12	1/22/2020 3:40	BTCUSD	8696.83	8704.31	8696.83	8698.34	0.04790606
